method,accuracy,f1_macro,f1_per_class,cross_subject_acc
Rule-based,0.5627,0.6926,0.8889;0.8889;0.3850;0.5714;0.7288,N/A
"SVM (RBF, C=10)",0.9986,0.9986,0.9967;0.9962;1.0000;1.0000;1.0000,0.5588
Random Forest,0.9986,0.9986,1.0000;1.0000;0.9966;1.0000;0.9966,0.5256
KNN (k=5),0.9973,0.9972,0.9935;0.9923;1.0000;1.0000;1.0000,0.3016
