method,accuracy,f1_macro,f1_per_class,cross_subject_acc
Rule-based,0.6533,0.673,0.5263;1.0000;0.0000;0.0000;1.0000;1.0000;0.5714;0.6667;1.0000;0.9655,N/A
"SVM (RBF, C=10)",1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.45
Random Forest,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.4033
KNN (k=5),1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.45
