class_name,precision,recall,f1,support,tp,fp,fn
FORWARD,0.5556,0.5,0.5263,60,30,24,30
BACKWARD,1.0,1.0,1.0,60,60,0,0
LEFT,0.0,0.0,0.0,60,0,0,60
RIGHT,0.0,0.0,0.0,60,0,0,60
SIT,1.0,1.0,1.0,60,60,0,0
STAND,1.0,1.0,1.0,60,60,0,0
WALK,0.5455,0.6,0.5714,60,36,30,24
TAIL_WAG,1.0,0.5,0.6667,60,30,0,30
STOP,1.0,1.0,1.0,60,60,0,0
BARK,1.0,0.9333,0.9655,60,56,0,4
