frame_id,t_detect_ms,t_embed_ms,t_match_ms,t_vote_ms,t_gesture_ms,t_http_ms,t_total_ms
85,2.4606,0.0000,0.0004,0.0037,11.0519,0.0000,13.5765
86,2.3109,0.0000,0.0003,0.0026,10.9151,0.0000,13.2312
87,2.6200,0.0000,0.0003,0.0029,10.9462,0.0000,13.5723
88,2.2852,0.0000,0.0001,0.0022,10.9956,0.0000,13.3169
89,2.2345,0.0000,0.0005,0.0019,10.8810,0.0000,13.1205
90,2.3397,0.0000,0.0006,0.0017,10.9964,0.0000,13.3414
91,2.2620,0.0000,0.0002,0.0024,10.9119,0.0000,13.2439
92,2.4307,0.0000,0.0005,0.0022,10.9622,0.0000,13.3982
93,2.1702,0.0000,0.0002,0.0020,10.9738,0.0000,13.1494
94,2.2470,0.0000,0.0001,0.0029,11.1016,0.0000,13.3547
95,2.4142,0.0000,0.0003,0.0022,10.9882,0.0000,13.4409
96,2.6621,0.0000,0.0003,0.0038,10.9660,0.0000,13.6358
97,2.3321,0.0000,0.0001,0.0023,10.9498,0.0000,13.2867
98,2.6864,0.0000,0.0003,0.0028,11.0018,0.0000,13.6950
99,2.3192,0.0000,0.0001,0.0025,10.9937,0.0000,13.3184
100,2.2673,0.0000,0.0003,0.0020,10.9195,0.0000,13.1918
