component,mean,median,p95,p99,min,max
t_detect_ms,2.5947,2.4458,3.0045,3.3314,2.1704,10.6973
t_embed_ms,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
t_match_ms,0.0002,0.0002,0.0003,0.0006,0.0000,0.0006
t_vote_ms,0.0032,0.0029,0.0053,0.0083,0.0008,0.0109
t_gesture_ms,10.6963,11.1268,11.9267,12.3146,0.0000,16.9369
t_http_ms,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
t_total_ms,13.3206,13.6356,14.6966,15.3906,2.5548,19.2828
