component,mean,median,p95,p99,min,max
t_detect_ms,7.2291,6.6353,10.6207,12.0875,3.6120,12.1955
t_embed_ms,4.0557,3.7668,6.3724,8.2997,2.1846,10.4102
t_match_ms,0.3663,0.1234,1.6636,3.7378,0.0589,6.6328
t_vote_ms,0.0055,0.0061,0.0071,0.0090,0.0026,0.0117
t_gesture_ms,16.9306,17.5382,23.2640,25.9072,0.0000,32.9224
t_http_ms,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
t_total_ms,29.0593,29.0761,38.5136,40.1874,6.2835,40.8643
